,target,plat,url
1,Recettes bouchée ou amuse-bouche,Pastels (beignets farcis du Sénégal),https://www.marmiton.org/recettes/recette_pastels-beignets-farcis-du-senegal_225738.aspx
1,Recettes bouchée ou amuse-bouche,Empanadas,https://www.marmiton.org/recettes/recette_empanadas_11011.aspx
1,Recettes bouchée ou amuse-bouche,Pâte à beignets sucrés ou salés,https://www.marmiton.org/recettes/recette_pate-a-beignets-sucres-ou-sales_42962.aspx
1,Recettes bouchée ou amuse-bouche,Accras de morue,https://www.marmiton.org/recettes/recette_accras-de-morue_19897.aspx
1,Recettes bouchée ou amuse-bouche,Beignets aux courgettes,https://www.marmiton.org/recettes/recette_beignets-aux-courgettes_26257.aspx
1,Recettes bouchée ou amuse-bouche,Croissant au jambon fromage,https://www.marmiton.org/recettes/recette_croissant-au-jambon-fromage_71950.aspx
1,Recettes bouchée ou amuse-bouche,Muffins salés aux lardons et au fromage râpé,https://www.marmiton.org/recettes/recette_muffins-sales-aux-lardons-et-au-fromage-rape_90498.aspx
1,Recettes bouchée ou amuse-bouche,chausson provençal ,https://www.marmiton.org/recettes/recette_chausson-provencal_41585.aspx
1,Recettes bouchée ou amuse-bouche,Socca niçoise au four,https://www.marmiton.org/recettes/recette_socca-nicoise-au-four_16096.aspx
1,Recettes bouchée ou amuse-bouche,Cornish pasties (chausson à la viande de Cornouailles),https://www.marmiton.org/recettes/recette_cornish-pasties-chausson-a-la-viande-de-cornouailles_344484.aspx
1,Recettes bouchée ou amuse-bouche,Petits croissants au saumon fumé (toast apéritif),https://www.marmiton.org/recettes/recette_petits-croissants-au-saumon-fume-toast-aperitif_20483.aspx
1,Recettes bouchée ou amuse-bouche,Assortiments de mini-tartelettes salées,https://www.marmiton.org/recettes/recette_assortiments-de-mini-tartelettes-salees_53802.aspx
1,Recettes bouchée ou amuse-bouche,Beignets d'aubergine au basilic,https://www.marmiton.org/recettes/recette_beignets-d-aubergine-au-basilic_49419.aspx
1,Recettes bouchée ou amuse-bouche,Gougères au fromage au Thermomix,https://www.marmiton.org/recettes/recette_gougeres-au-fromage-thermomix_374893.aspx
1,Recettes bouchée ou amuse-bouche,Beignets de fleurs de courgettes et de courges,https://www.marmiton.org/recettes/recette_beignets-de-fleurs-de-courgettes-et-de-courges_229501.aspx
1,Recettes bouchée ou amuse-bouche,Gougères faciles,https://www.marmiton.org/recettes/recette_gougeres-faciles_13241.aspx
1,Recettes bouchée ou amuse-bouche,Chaussons italiens (panzerotti),https://www.marmiton.org/recettes/recette_chaussons-italiens-panzerotti_39807.aspx
1,Recettes bouchée ou amuse-bouche,Achards de légumes Réunion,https://www.marmiton.org/recettes/recette_achards-de-legumes-reunion_27857.aspx
1,Recettes bouchée ou amuse-bouche,Bouchées à la reine maison,https://www.marmiton.org/recettes/recette_bouchees-a-la-reine-maison_27871.aspx
1,Recettes bouchée ou amuse-bouche,Onion rings (pâte à beignet),https://www.marmiton.org/recettes/recette_onion-rings-pate-a-beignet_52821.aspx
1,Recettes bouchée ou amuse-bouche,beignets de chou- fleur,https://www.marmiton.org/recettes/recette_beignets-de-chou-fleur_20174.aspx
1,Recettes bouchée ou amuse-bouche,Bouchées à la reine aux civelles et girolles,https://www.marmiton.org/recettes/recette_bouchees-a-la-reine-aux-civelles-et-girolles_63015.aspx
1,Recettes bouchée ou amuse-bouche,Blinis faciles maison,https://www.marmiton.org/recettes/recette_blinis-faciles-maison_22261.aspx
1,Recettes bouchée ou amuse-bouche,Muffins salés jambon courgette,https://www.marmiton.org/recettes/recette_muffins-sales-jambon-courgette_167449.aspx
1,Recettes bouchée ou amuse-bouche,Chips de legumes au four,https://www.marmiton.org/recettes/recette_chips-de-legumes-au-four_231913.aspx
1,Recettes bouchée ou amuse-bouche,Blinis au saumon fumé sous son lit de neige,https://www.marmiton.org/recettes/recette_blinis-au-saumon-fume-sous-son-lit-de-neige_6722.aspx
1,Recettes bouchée ou amuse-bouche,Chausson à la viande pour deux,https://www.marmiton.org/recettes/recette_chausson-a-la-viande-pour-deux_19377.aspx
2,Recettes viande,Blanquette de veau : recette traditionnelle,https://www.marmiton.org/recettes/recette_blanquette-de-veau-facile_19219.aspx
2,Recettes viande,Rôti de boeuf au four tout simple,https://www.marmiton.org/recettes/recette_roti-de-boeuf-au-four-tout-simple_342546.aspx
2,Recettes viande,Poulet au four simple et savoureux,https://www.marmiton.org/recettes/recette_poulet-au-four-version-light_218020.aspx
2,Recettes viande,Filet mignon de porc à la moutarde,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx
2,Recettes viande,Boeuf bourguignon : la vraie recette,https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx
2,Recettes viande,Osso bucco de veau,https://www.marmiton.org/recettes/recette_osso-bucco-de-veau_16090.aspx
2,Recettes viande,Cuisses de poulet au four,https://www.marmiton.org/recettes/recette_cuisses-de-poulet-au-four_67408.aspx
2,Recettes viande,Rôti de porc tout simple,https://www.marmiton.org/recettes/recette_roti-de-porc-tout-simple_170153.aspx
2,Recettes viande,Paupiettes de veau ,https://www.marmiton.org/recettes/recette_paupiettes-de-veau_82641.aspx
2,Recettes viande,Rôti de veau au four,https://www.marmiton.org/recettes/recette_roti-de-veau-au-four_61313.aspx
2,Recettes viande,Poulet basquaise,https://www.marmiton.org/recettes/recette_poulet-basquaise_16969.aspx
2,Recettes viande,Souris d'agneau au miel et thym,https://www.marmiton.org/recettes/recette_souris-d-agneau-au-miel-et-thym_93493.aspx
2,Recettes viande,Sauté de porc à la crème de moutarde,https://www.marmiton.org/recettes/recette_saute-de-porc-a-la-creme-de-moutarde_173829.aspx
2,Recettes viande,Hot dog New Yorkais,https://www.marmiton.org/recettes/recette_hot-dog-new-yorkais_47180.aspx
2,Recettes viande,Epaule d'agneau confite facile,https://www.marmiton.org/recettes/recette_epaule-d-agneau-confite-facile_67739.aspx
2,Recettes viande,Filet mignon de porc rôti à la moutarde à l'ancienne,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-roti-a-la-moutarde-a-l-ancienne_165059.aspx
2,Recettes viande,La côte de bœuf au four facile et cuite à la perfection,https://www.marmiton.org/recettes/recette_la-cote-de-boeuf-au-four-facile-et-cuite-a-la-perfection_372549.aspx
2,Recettes viande,Gigot d'agneau : la recette traditionnelle,https://www.marmiton.org/recettes/recette_gigot-d-agneau-a-l-ail-et-au-romarin_18696.aspx
2,Recettes viande,Potée au choux et saucisse de Morteau,https://www.marmiton.org/recettes/recette_potee-au-choux-et-saucisse-de-morteaux_105755.aspx
2,Recettes viande,Lentilles corail au curry,https://www.marmiton.org/recettes/recette_lentilles-corail-au-curry_40286.aspx
2,Recettes viande,Magret de canard au four,https://www.marmiton.org/recettes/recette_magret-de-canard-au-four_80687.aspx
2,Recettes viande,Joue de boeuf à la bourguignonne,https://www.marmiton.org/recettes/recette_joue-de-boeuf-a-la-bourguignonne_304962.aspx
2,Recettes viande,Falafel (croquettes de pois chiches),https://www.marmiton.org/recettes/recette_falafel-croquettes-de-pois-chiches_23038.aspx
2,Recettes viande,Petit salé aux lentilles,https://www.marmiton.org/recettes/recette_petit-sale-aux-lentilles_19044.aspx
2,Recettes viande,Rosbeef au four à l'ail,https://www.marmiton.org/recettes/recette_rosbeef-au-four-a-l-ail_232964.aspx
2,Recettes viande,Rôti de porc à la moutarde et au miel,https://www.marmiton.org/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx
2,Recettes viande,Poulet rôti et ses pommes de terre,https://www.marmiton.org/recettes/recette_poulet-roti-et-ses-pommes-de-terre_43958.aspx
2,Recettes viande,Joue de porc à la bière,https://www.marmiton.org/recettes/recette_joue-de-porc-a-la-biere_36896.aspx
2,Recettes viande,Ris de Veau aux champignons,https://www.marmiton.org/recettes/recette_ris-de-veau-aux-champignons_32436.aspx
2,Recettes viande,Bourguignon de sanglier facile,https://www.marmiton.org/recettes/recette_bourguignon-de-sanglier-facile_232489.aspx
3,Recettes poisson,Pavés de saumon au four facile,https://www.marmiton.org/recettes/recette_paves-de-saumon-au-four-facile_80135.aspx
3,Recettes poisson,Brandade de morue,https://www.marmiton.org/recettes/recette_brandade-de-morue_12736.aspx
3,Recettes poisson,Sole meuniere,https://www.marmiton.org/recettes/recette_sole-meuniere_165182.aspx
3,Recettes poisson,Bar au four,https://www.marmiton.org/recettes/recette_bar-au-four_21505.aspx
3,Recettes poisson,Dos de cabillaud tout simple,https://www.marmiton.org/recettes/recette_dos-de-cabillaud-tout-simple_72532.aspx
3,Recettes poisson,Ailes de raie aux câpres,https://www.marmiton.org/recettes/recette_ailes-de-raie-aux-capres_172258.aspx
3,Recettes poisson,Fish and Chips (la vraie pâte à friture anglaise),https://www.marmiton.org/recettes/recette_fish-and-chips-la-vraie-pate-a-friture-anglaise_22308.aspx
3,Recettes poisson,Daurade au four,https://www.marmiton.org/recettes/recette_daurade-au-four_66329.aspx
3,Recettes poisson,Amour de saumon en papillote,https://www.marmiton.org/recettes/recette_amour-de-saumon-en-papillote_21494.aspx
3,Recettes poisson,Lotte à l'Armoricaine : recette savoureuse,https://www.marmiton.org/recettes/recette_lotte-a-l-armoricaine_16975.aspx
3,Recettes poisson,Bouillabaisse comme à Marseille,https://www.marmiton.org/recettes/recette_bouillabaisse-comme-a-marseille_23522.aspx
3,Recettes poisson,Filet de lieu noir  crème et moutarde,https://www.marmiton.org/recettes/recette_filet-de-lieu-noir-creme-et-moutarde_343779.aspx
3,Recettes poisson,Papillottes de poisson pour les nuls,https://www.marmiton.org/recettes/recette_papillottes-de-poisson-pour-les-nuls_46408.aspx
3,Recettes poisson,Cabillaud au four,https://www.marmiton.org/recettes/recette_cabillaud-au-four_44399.aspx
3,Recettes poisson,Filets de Saint-Pierre au beurre d'orange,https://www.marmiton.org/recettes/recette_filets-de-saint-pierre-au-beurre-d-orange_19152.aspx
3,Recettes poisson,Truite au four,https://www.marmiton.org/recettes/recette_truite-au-four-simple_223228.aspx
3,Recettes poisson,Soupe de poissons au bouquet provençal,https://www.marmiton.org/recettes/recette_soupe-de-poissons-au-bouquet-provencal_12720.aspx
3,Recettes poisson,Filet de truite sauce citronnée (très facile),https://www.marmiton.org/recettes/recette_filet-de-truite-sauce-citronnee-tres-facile_56385.aspx
3,Recettes poisson,Queue de lotte au beurre blanc,https://www.marmiton.org/recettes/recette_queue-de-lotte-au-beurre-blanc_168755.aspx
3,Recettes poisson,Pavé de saumon sur son lit de poireaux,https://www.marmiton.org/recettes/recette_pave-de-saumon-sur-son-lit-de-poireaux_25136.aspx
3,Recettes poisson,"Pavé de saumon à l’unilatérale, pour une cuisson parfaite à tous...",https://www.marmiton.org/recettes/recette_pave-de-saumon-a-l-unilaterale-pour-une-cuisson-parfaite-a-tous-les-coups_372636.aspx
3,Recettes poisson,Quiche aux légumes,https://www.marmiton.org/recettes/recette_quiche-aux-legumes_171209.aspx
3,Recettes poisson,Filets de lotte au four à la tomate,https://www.marmiton.org/recettes/recette_filets-de-lotte-au-four-a-la-tomate_21385.aspx
3,Recettes poisson,Dos de cabillaud en papillote,https://www.marmiton.org/recettes/recette_dos-de-cabillaud-en-papillote_309588.aspx
3,Recettes poisson,Suprême de pintade,https://www.marmiton.org/recettes/recette_supreme-de-pintade_533853.aspx
3,Recettes poisson,Gratin de poisson,https://www.marmiton.org/recettes/recette_gratin-de-poisson_17718.aspx
3,Recettes poisson,Filets de loup de mer au four,https://www.marmiton.org/recettes/recette_filets-de-loup-de-mer-au-four_225752.aspx
3,Recettes poisson,Bar en croûte de sel ,https://www.marmiton.org/recettes/recette_bar-en-croute-de-sel_64645.aspx
3,Recettes poisson,Lotte à l'américaine,https://www.marmiton.org/recettes/recette_lotte-a-l-americaine_12569.aspx
3,Recettes poisson,Pavés de saumon à la crème,https://www.marmiton.org/recettes/recette_paves-de-saumon-a-la-creme_66903.aspx
4,"Recettes pâtes, riz, semoule",Lasagnes à la bolognaise,https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise_18215.aspx
4,"Recettes pâtes, riz, semoule","Pâtes à la ""carbonara"" à la française",https://www.marmiton.org/recettes/recette_pates-a-la-carbonara_80453.aspx
4,"Recettes pâtes, riz, semoule",Risotto aux champignons : la vraie recette,https://www.marmiton.org/recettes/recette_risotto-aux-champignons_312215.aspx
4,"Recettes pâtes, riz, semoule",Gnocchis faits maison,https://www.marmiton.org/recettes/recette_gnocchis-faits-maison_309952.aspx
4,"Recettes pâtes, riz, semoule",La poule au riz de la mère Michèle,https://www.marmiton.org/recettes/recette_la-poule-au-riz-de-la-mere-michele_36729.aspx
4,"Recettes pâtes, riz, semoule",Pâtes fraîches,https://www.marmiton.org/recettes/recette_pates-fraiches_11537.aspx
4,"Recettes pâtes, riz, semoule",Riz cantonais facile,https://www.marmiton.org/recettes/recette_riz-cantonais-facile_27686.aspx
4,"Recettes pâtes, riz, semoule",Riz pilaf de Caro,https://www.marmiton.org/recettes/recette_riz-pilaf_27905.aspx
4,"Recettes pâtes, riz, semoule",Lasagnes à la bolognaise très facile,https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise-tres-facile_70480.aspx
4,"Recettes pâtes, riz, semoule",Tagliatelles au saumon frais,https://www.marmiton.org/recettes/recette_tagliatelles-au-saumon-frais_11354.aspx
4,"Recettes pâtes, riz, semoule","Gratin de pâtes moelleux, facile et pas cher",https://www.marmiton.org/recettes/recette_gratin-de-pates-moelleux-facile-et-pas-cher_53247.aspx
4,"Recettes pâtes, riz, semoule",Spaghetti bolognaise,https://www.marmiton.org/recettes/recette_spaghetti-bolognaise_19840.aspx
4,"Recettes pâtes, riz, semoule",Cannelloni de viande,https://www.marmiton.org/recettes/recette_cannelloni-de-viande_45211.aspx
4,"Recettes pâtes, riz, semoule",Nouilles chinoises aux légumes et aux épices,https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx
4,"Recettes pâtes, riz, semoule",Lasagnes au saumon et aux épinards,https://www.marmiton.org/recettes/recette_lasagnes-au-saumon-et-aux-epinards_14665.aspx
4,"Recettes pâtes, riz, semoule",Spaetzle,https://www.marmiton.org/recettes/recette_spaetzle_165933.aspx
4,"Recettes pâtes, riz, semoule",Risotto dinde champignon,https://www.marmiton.org/recettes/recette_risotto-poulet-champignon-succes-garanti_230811.aspx
4,"Recettes pâtes, riz, semoule",Mac and cheese super rapide,https://www.marmiton.org/recettes/recette_mac-and-cheese-super-rapide_528915.aspx
4,"Recettes pâtes, riz, semoule",Risotto au chorizo,https://www.marmiton.org/recettes/recette_risotto-au-chorizo_17724.aspx
4,"Recettes pâtes, riz, semoule",Quinoa au curry,https://www.marmiton.org/recettes/recette_quinoa-au-curry_61096.aspx
4,"Recettes pâtes, riz, semoule",Pâtes carbonara presque comme des vraies,https://www.marmiton.org/recettes/recette_pates-carbonara-la-vraie-recette-italienne_17213.aspx
4,"Recettes pâtes, riz, semoule",Poulet au riz pour robot Cookeo,https://www.marmiton.org/recettes/recette_poulet-au-riz-pour-robot-cookeo_340418.aspx
4,"Recettes pâtes, riz, semoule",Tagliatelles au saumon fumé,https://www.marmiton.org/recettes/recette_tagliatelles-au-saumon-fume_29803.aspx
4,"Recettes pâtes, riz, semoule",Lasagnes au saumon faciles,https://www.marmiton.org/recettes/recette_lasagnes-au-saumon-faciles_45164.aspx
4,"Recettes pâtes, riz, semoule",Spaghetti à la Carbonara,https://www.marmiton.org/recettes/recette_spaghetti-a-la-carbonara_12249.aspx
4,"Recettes pâtes, riz, semoule",Lasagnes à la ricotta et aux épinards,https://www.marmiton.org/recettes/recette_lasagnes-a-la-ricotta-et-aux-epinards_22045.aspx
4,"Recettes pâtes, riz, semoule",Tagliatelles à la carbonara,https://www.marmiton.org/recettes/recette_tagliatelles-a-la-carbonara_12993.aspx
4,"Recettes pâtes, riz, semoule",Pâtes au thon,https://www.marmiton.org/recettes/recette_pates-au-thon_13754.aspx
4,"Recettes pâtes, riz, semoule",Simplissimes nouilles sautées au poulet,https://www.marmiton.org/recettes/recette_simplissimes-nouilles-sautees-au-poulet_37164.aspx
4,"Recettes pâtes, riz, semoule",Nouilles sautées aux légumes,https://www.marmiton.org/recettes/recette_nouilles-sautees-aux-legumes_33051.aspx
5,Recettes œufs,Omelette nature,https://www.marmiton.org/recettes/recette_omelette-nature_21255.aspx
5,Recettes œufs,Oeuf poché ultra simple,https://www.marmiton.org/recettes/recette_oeuf-poche-plus-simple-pas-possible_174102.aspx
5,Recettes œufs,Oeufs brouillés nature,https://www.marmiton.org/recettes/recette_oeufs-brouilles-nature_30569.aspx
5,Recettes œufs,Tortilla facile (Espagne),https://www.marmiton.org/recettes/recette_tortilla-facile-espagne_16245.aspx
5,Recettes œufs,Oeuf poché très simple (au micro-ondes),https://www.marmiton.org/recettes/recette_reussir-un-oeuf-poche-tres-simplement-micro-onde_173174.aspx
5,Recettes œufs,Omelette aux pommes de terre et lardons,https://www.marmiton.org/recettes/recette_omelette-aux-pommes-de-terre-et-lardons_19387.aspx
5,Recettes œufs,Omelette aux champignons de paris facile,https://www.marmiton.org/recettes/recette_omelette-aux-champignons-de-paris-facile_308286.aspx
5,Recettes œufs,Tortilla (Espagne),https://www.marmiton.org/recettes/recette_tortilla-espagne_11274.aspx
5,Recettes œufs,Oeufs brouillés aux oeufs... de lump,https://www.marmiton.org/recettes/recette_oeufs-brouilles-aux-oeufs-de-lump_25075.aspx
5,Recettes œufs,Omelette de la mère Poulard,https://www.marmiton.org/recettes/recette_omelette-de-la-mere-poulard_16074.aspx
5,Recettes œufs,Omelette aux asperges sauvages de ma maman,https://www.marmiton.org/recettes/recette_omelette-aux-asperges-sauvages-de-ma-maman_167566.aspx
5,Recettes œufs,"Omelette aux girolles, ail et persil",https://www.marmiton.org/recettes/recette_omelette-aux-girolles-ail-et-persil_52045.aspx
5,Recettes œufs,Omelette aux cèpes,https://www.marmiton.org/recettes/recette_omelette-aux-cepes_41680.aspx
5,Recettes œufs,Omelette à l'ancienne (oignon-lardon-pomme de terre),https://www.marmiton.org/recettes/recette_omelette-a-l-ancienne-oignon-lardon-pomme-de-terre_169283.aspx
5,Recettes œufs,Omelette Espagnole (Tortilla auténtica),https://www.marmiton.org/recettes/recette_omelette-espagnole-tortilla-autentica_66818.aspx
5,Recettes œufs,Tortilla maison,https://www.marmiton.org/recettes/recette_tortilla-maison_168251.aspx
5,Recettes œufs,Fajitas avec Tortillas fabrication totalement maison..,https://www.marmiton.org/recettes/recette_fajitas-avec-tortillas-fabrication-totalement-maison_28028.aspx
5,Recettes œufs,Tortillas (recette sans farine de maïs),https://www.marmiton.org/recettes/recette_tortillas-recette-sans-farine-de-mais_40389.aspx
5,Recettes œufs,Omelette à l'aillet (ail),https://www.marmiton.org/recettes/recette_omelette-a-l-aillet_320511.aspx
5,Recettes œufs,Omelette soufflée au fromage,https://www.marmiton.org/recettes/recette_omelette-soufflee-au-fromage_345191.aspx
5,Recettes œufs,Tortilla de pommes de terre,https://www.marmiton.org/recettes/recette_tortilla-de-pommes-de-terre_24594.aspx
5,Recettes œufs,Omelette aux épinards et mozzarella,https://www.marmiton.org/recettes/recette_omelette-aux-epinards-et-mozzarella_30264.aspx
5,Recettes œufs,Omelette sucrée,https://www.marmiton.org/recettes/recette_omelette-sucree_80603.aspx
5,Recettes œufs,omelette à la soubressade et au fromage,https://www.marmiton.org/recettes/recette_omelette-a-la-soubressade-et-au-fromage_17246.aspx
5,Recettes œufs,Tortilla froides au saumon (wraps),https://www.marmiton.org/recettes/recette_tortilla-froides-au-saumon-wraps_49542.aspx
5,Recettes œufs,Omelette jambon/fromage,https://www.marmiton.org/recettes/recette_omelette-jambon-fromage_68824.aspx
5,Recettes œufs,Brouillade  à la coquille (oeufs brouillés crémeux),https://www.marmiton.org/recettes/recette_brouillade-a-la-coquille-oeufs-brouilles-cremeux_33306.aspx
5,Recettes œufs,Omelette aux truffes de Bourgogne,https://www.marmiton.org/recettes/recette_omelette-aux-truffes-de-bourgogne_12277.aspx
5,Recettes œufs,Omelette au four toute simple,https://www.marmiton.org/recettes/recette_omelette-au-four-toute-simple_80695.aspx
5,Recettes œufs,Omelette aux tomates et aux herbes fraîches,https://www.marmiton.org/recettes/recette_omelette-aux-tomates-et-aux-herbes-fraiches_50733.aspx
6,Recettes fruits de mer,Moules marinières,https://www.marmiton.org/recettes/recette_moules-marinieres_13214.aspx
6,Recettes fruits de mer,Coquilles Saint Jacques : recette gourmande,https://www.marmiton.org/recettes/recette_coquilles-st-jacques-a-la-bretonne_19684.aspx
6,Recettes fruits de mer,Noix de Saint Jacques,https://www.marmiton.org/recettes/recette_noix-de-saint-jacques_20420.aspx
6,Recettes fruits de mer,Calamars à l'armoricaine,https://www.marmiton.org/recettes/recette_calamars-a-l-armoricaine_31894.aspx
6,Recettes fruits de mer,Moules à la crème,https://www.marmiton.org/recettes/recette_moules-a-la-creme_33388.aspx
6,Recettes fruits de mer,Moules marinières persillées,https://www.marmiton.org/recettes/recette_moules-marinieres-persillees_32408.aspx
6,Recettes fruits de mer,Tielle sétoise,https://www.marmiton.org/recettes/recette_tielle-setoise_17608.aspx
6,Recettes fruits de mer,Cassolettes de Saint-Jacques,https://www.marmiton.org/recettes/recette_cassolettes-de-saint-jacques_36866.aspx
6,Recettes fruits de mer,Chipirons au piment d'Espelette à la plancha,https://www.marmiton.org/recettes/recette_chipirons-au-piment-d-espelette-a-la-plancha_320990.aspx
6,Recettes fruits de mer,Coquilles St Jacques et leur fondue de poireaux,https://www.marmiton.org/recettes/recette_coquilles-st-jacques-et-leur-fondue-de-poireaux_166384.aspx
6,Recettes fruits de mer,Seiche à l'américaine,https://www.marmiton.org/recettes/recette_seiche-a-l-americaine_45013.aspx
6,Recettes fruits de mer,Poêlée de langoustines,https://www.marmiton.org/recettes/recette_poelee-de-langoustines_22889.aspx
6,Recettes fruits de mer,écrevisses à l'américaine,https://www.marmiton.org/recettes/recette_ecrevisses-a-l-americaine_164549.aspx
6,Recettes fruits de mer,Crevettes à l'ail,https://www.marmiton.org/recettes/recette_crevettes-a-l-ail_23490.aspx
6,Recettes fruits de mer,Queue de langouste à l'armoricaine,https://www.marmiton.org/recettes/recette_queue-de-langouste-a-l-armoricaine_27207.aspx
6,Recettes fruits de mer,Pâte aux crevettes a la crème,https://www.marmiton.org/recettes/recette_pate-aux-crevettes-a-la-creme_171330.aspx
6,Recettes fruits de mer,Cuisson des coques ,https://www.marmiton.org/recettes/recette_cuisson-des-coques_18358.aspx
6,Recettes fruits de mer,Huîtres chaudes façon Françoise,https://www.marmiton.org/recettes/recette_huitres-chaudes-facon-francoise_40658.aspx
6,Recettes fruits de mer,Crevettes au curry express,https://www.marmiton.org/recettes/recette_crevettes-au-curry-express_12645.aspx
6,Recettes fruits de mer,Verrines avocats crevettes et fromage frais,https://www.marmiton.org/recettes/recette_verrines-avocats-crevettes-et-fromage-frais_68529.aspx
6,Recettes fruits de mer,bigorneaux - la cuissson parfaite!,https://www.marmiton.org/recettes/recette_bigorneaux-la-cuissson-parfaite_80168.aspx
6,Recettes fruits de mer,Noix de Saint Jacques sauce corail,https://www.marmiton.org/recettes/recette_noix-de-saint-jacques-sauce-corail_314823.aspx
6,Recettes fruits de mer,Moules au roquefort,https://www.marmiton.org/recettes/recette_moules-au-roquefort_36429.aspx
