,target,plat,recette
20,apéritifdînatoire,cake salé de base avec garnitures,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
21,apéritifdînatoire,houmous au thermomix,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
22,apéritifdînatoire,rillettes de saumon ,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
23,apéritifdînatoire,cake salé au potiron,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
24,apéritifdînatoire,cake chèvre et courgettes,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
25,apéritifdînatoire,verrine d'automne,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
26,apéritifdînatoire,pâte pour cake salé,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
27,apéritifdînatoire,baba ghanoush - caviar d'aubergines (liban),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
28,apéritifdînatoire,crème d'asperges en verrines,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
29,apéritifdînatoire,tarama,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
30,bouchéeouamuse-bouche,gougères au fromage,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
31,bouchéeouamuse-bouche,roulés feuilletés à la saucisse,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
32,bouchéeouamuse-bouche,blinis,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
33,bouchéeouamuse-bouche,pastels (beignets farcis du sénégal),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
34,bouchéeouamuse-bouche,empanadas,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
35,bouchéeouamuse-bouche,pâte à beignets sucrés ou salés,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
36,bouchéeouamuse-bouche,accras de morue,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
37,bouchéeouamuse-bouche,beignets aux courgettes,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
38,bouchéeouamuse-bouche,croissant au jambon fromage,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
39,bouchéeouamuse-bouche,muffins salés aux lardons et au fromage râpé,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
40,bouchéeouamuse-bouche,chausson provençal ,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
41,bouchéeouamuse-bouche,socca niçoise au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
42,bouchéeouamuse-bouche,cornish pasties (chausson à la viande de cornouailles),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
43,bouchéeouamuse-bouche,petits croissants au saumon fumé (toast apéritif),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
44,bouchéeouamuse-bouche,assortiments de mini-tartelettes salées,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
45,bouchéeouamuse-bouche,beignets d'aubergine au basilic,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
46,bouchéeouamuse-bouche,gougères au fromage au thermomix,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
47,bouchéeouamuse-bouche,beignets de fleurs de courgettes et de courges,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
48,bouchéeouamuse-bouche,gougères faciles,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
49,bouchéeouamuse-bouche,chaussons italiens (panzerotti),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
50,bouchéeouamuse-bouche,achards de légumes réunion,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
51,bouchéeouamuse-bouche,bouchées à la reine maison,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
52,bouchéeouamuse-bouche,onion rings (pâte à beignet),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
53,bouchéeouamuse-bouche,beignets de chou- fleur,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
54,bouchéeouamuse-bouche,bouchées à la reine aux civelles et girolles,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
55,bouchéeouamuse-bouche,blinis faciles maison,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
56,bouchéeouamuse-bouche,muffins salés jambon courgette,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
57,bouchéeouamuse-bouche,chips de legumes au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
58,bouchéeouamuse-bouche,blinis au saumon fumé sous son lit de neige,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
59,bouchéeouamuse-bouche,chausson à la viande pour deux,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
90,poisson,pavés de saumon au four facile,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
91,poisson,brandade de morue,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
92,poisson,sole meuniere,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
93,poisson,bar au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
94,poisson,dos de cabillaud tout simple,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
95,poisson,ailes de raie aux câpres,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
96,poisson,fish and chips (la vraie pâte à friture anglaise),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
97,poisson,daurade au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
98,poisson,amour de saumon en papillote,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
99,poisson,lotte à l'armoricaine : recette savoureuse,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
100,poisson,bouillabaisse comme à marseille,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
101,poisson,filet de lieu noir  crème et moutarde,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
102,poisson,papillottes de poisson pour les nuls,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
103,poisson,cabillaud au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
104,poisson,filets de saint-pierre au beurre d'orange,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
105,poisson,truite au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
106,poisson,soupe de poissons au bouquet provençal,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
107,poisson,filet de truite sauce citronnée (très facile),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
108,poisson,queue de lotte au beurre blanc,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
109,poisson,pavé de saumon sur son lit de poireaux,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
110,poisson,"pavé de saumon à l’unilatérale, pour une cuisson parfaite à tous...","farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
111,poisson,quiche aux légumes,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
112,poisson,filets de lotte au four à la tomate,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
113,poisson,dos de cabillaud en papillote,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
114,poisson,suprême de pintade,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
115,poisson,gratin de poisson,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
116,poisson,filets de loup de mer au four,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
117,poisson,bar en croûte de sel ,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
118,poisson,lotte à l'américaine,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
119,poisson,pavés de saumon à la crème,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
120,"pâtes,riz,semoule",lasagnes à la bolognaise,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
121,"pâtes,riz,semoule","pâtes à la ""carbonara"" à la française","farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
122,"pâtes,riz,semoule",risotto aux champignons : la vraie recette,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
123,"pâtes,riz,semoule",gnocchis faits maison,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
124,"pâtes,riz,semoule",la poule au riz de la mère michèle,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
125,"pâtes,riz,semoule",pâtes fraîches,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
126,"pâtes,riz,semoule",riz cantonais facile,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
127,"pâtes,riz,semoule",riz pilaf de caro,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
128,"pâtes,riz,semoule",lasagnes à la bolognaise très facile,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
129,"pâtes,riz,semoule",tagliatelles au saumon frais,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
130,"pâtes,riz,semoule","gratin de pâtes moelleux, facile et pas cher","farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
131,"pâtes,riz,semoule",spaghetti bolognaise,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
132,"pâtes,riz,semoule",cannelloni de viande,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
133,"pâtes,riz,semoule",nouilles chinoises aux légumes et aux épices,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
134,"pâtes,riz,semoule",lasagnes au saumon et aux épinards,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
135,"pâtes,riz,semoule",spaetzle,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
136,"pâtes,riz,semoule",risotto dinde champignon,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
137,"pâtes,riz,semoule",mac and cheese super rapide,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
138,"pâtes,riz,semoule",risotto au chorizo,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
139,"pâtes,riz,semoule",quinoa au curry,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
140,"pâtes,riz,semoule",pâtes carbonara presque comme des vraies,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
141,"pâtes,riz,semoule",poulet au riz pour robot cookeo,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
142,"pâtes,riz,semoule",tagliatelles au saumon fumé,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
143,"pâtes,riz,semoule",lasagnes au saumon faciles,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
144,"pâtes,riz,semoule",spaghetti à la carbonara,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
145,"pâtes,riz,semoule",lasagnes à la ricotta et aux épinards,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
146,"pâtes,riz,semoule",tagliatelles à la carbonara,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
147,"pâtes,riz,semoule",pâtes au thon,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
148,"pâtes,riz,semoule",simplissimes nouilles sautées au poulet,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
149,"pâtes,riz,semoule",nouilles sautées aux légumes,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
150,œufs,omelette nature,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
151,œufs,oeuf poché ultra simple,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
152,œufs,oeufs brouillés nature,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
153,œufs,tortilla facile (espagne),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
154,œufs,oeuf poché très simple (au micro-ondes),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
155,œufs,omelette aux pommes de terre et lardons,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
156,œufs,omelette aux champignons de paris facile,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
157,œufs,tortilla (espagne),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
158,œufs,oeufs brouillés aux oeufs... de lump,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
159,œufs,omelette de la mère poulard,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
160,œufs,omelette aux asperges sauvages de ma maman,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
161,œufs,"omelette aux girolles, ail et persil","farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
162,œufs,omelette aux cèpes,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
163,œufs,omelette à l'ancienne (oignon-lardon-pomme de terre),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
164,œufs,omelette espagnole (tortilla auténtica),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
165,œufs,tortilla maison,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
166,œufs,fajitas avec tortillas fabrication totalement maison..,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
167,œufs,tortillas (recette sans farine de maïs),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
168,œufs,omelette à l'aillet (ail),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
169,œufs,omelette soufflée au fromage,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
170,œufs,tortilla de pommes de terre,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
171,œufs,omelette aux épinards et mozzarella,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
172,œufs,omelette sucrée,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
173,œufs,omelette à la soubressade et au fromage,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
174,œufs,tortilla froides au saumon (wraps),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
175,œufs,omelette jambon/fromage,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
176,œufs,brouillade  à la coquille (oeufs brouillés crémeux),"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
177,œufs,omelette aux truffes de bourgogne,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
178,œufs,omelette au four toute simple,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
179,œufs,omelette aux tomates et aux herbes fraîches,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
180,fruitsdemer,moules marinières,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
181,fruitsdemer,coquilles saint jacques : recette gourmande,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
182,fruitsdemer,noix de saint jacques,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
183,fruitsdemer,calamars à l'armoricaine,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
184,fruitsdemer,moules à la crème,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
185,fruitsdemer,moules marinières persillées,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
186,fruitsdemer,tielle sétoise,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
187,fruitsdemer,cassolettes de saint-jacques,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
188,fruitsdemer,chipirons au piment d'espelette à la plancha,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
189,fruitsdemer,coquilles st jacques et leur fondue de poireaux,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
190,fruitsdemer,seiche à l'américaine,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
191,fruitsdemer,poêlée de langoustines,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
192,fruitsdemer,écrevisses à l'américaine,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
193,fruitsdemer,crevettes à l'ail,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
194,fruitsdemer,queue de langouste à l'armoricaine,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
195,fruitsdemer,pâte aux crevettes a la crème,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
196,fruitsdemer,cuisson des coques ,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
197,fruitsdemer,huîtres chaudes façon françoise,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
198,fruitsdemer,crevettes au curry express,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
199,fruitsdemer,verrines avocats crevettes et fromage frais,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
200,fruitsdemer,bigorneaux - la cuissson parfaite!,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
201,fruitsdemer,noix de saint jacques sauce corail,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
202,fruitsdemer,moules au roquefort,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
203,fruitsdemer,saint jacques sur lit de poireaux,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
204,fruitsdemer,carpaccio  de saint jacques :  la meilleure recette,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
205,fruitsdemer,coquilles saint-jacques gratinées,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
206,fruitsdemer,boeuf à la sauce d'huîtres,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
207,fruitsdemer,crevettes au curry au lait de coco,"farine, levure chimique, huile d'olive, beurre, tomate, lardons, dés de jambon, oeuf, lait, basilic, olives vertes"
